id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2155,JIWA PER KILOMETER PERSEGI,2018
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,594,JIWA PER KILOMETER PERSEGI,2018
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,589,JIWA PER KILOMETER PERSEGI,2018
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2103,JIWA PER KILOMETER PERSEGI,2018
5,32,JAWA BARAT,3205,KABUPATEN GARUT,848,JIWA PER KILOMETER PERSEGI,2018
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,686,JIWA PER KILOMETER PERSEGI,2018
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,840,JIWA PER KILOMETER PERSEGI,2018
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,968,JIWA PER KILOMETER PERSEGI,2018
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,2210,JIWA PER KILOMETER PERSEGI,2018
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,996,JIWA PER KILOMETER PERSEGI,2018
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,757,JIWA PER KILOMETER PERSEGI,2018
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,843,JIWA PER KILOMETER PERSEGI,2018
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,834,JIWA PER KILOMETER PERSEGI,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1155,JIWA PER KILOMETER PERSEGI,2018
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1414,JIWA PER KILOMETER PERSEGI,2018
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,2964,JIWA PER KILOMETER PERSEGI,2018
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1289,JIWA PER KILOMETER PERSEGI,2018
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,393,JIWA PER KILOMETER PERSEGI,2018
19,32,JAWA BARAT,3271,KOTA BOGOR,9256,JIWA PER KILOMETER PERSEGI,2018
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6762,JIWA PER KILOMETER PERSEGI,2018
