id,kemendagri_provinsi_kode,kemendagri_kota_kode,kemendagri_kecamatan_kode,kemendagri_provinsi_nama,kemendagri_kota_nama,kemendagri_kecamatan_nama,bps_provinsi_kode,bps_kota_kode,bps_kecamatan_kode,bps_provinsi_nama,bps_kota_nama,bps_kecamatan_nama,latitude,longitude,kode_pos,status_adm
1,32,32.01,32.01.01,JAWA BARAT,KAB. BOGOR,CIBINONG,32,3201,3201210,JAWA BARAT,KABUPATEN BOGOR,CIBINONG,-6.47891,106.845,16911.0,
2,32,32.01,32.01.02,JAWA BARAT,KAB. BOGOR,GUNUNG PUTRI,32,3201,3201190,JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,-6.46461,106.8916,16961.0,
3,32,32.01,32.01.03,JAWA BARAT,KAB. BOGOR,CITEUREUP,32,3201,3201200,JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,-6.47602,106.89325,16811.0,
4,32,32.01,32.01.04,JAWA BARAT,KAB. BOGOR,SUKARAJA,32,3201,3201130,JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,-6.60083,106.83876,16719.0,
5,32,32.01,32.01.05,JAWA BARAT,KAB. BOGOR,BABAKAN MADANG,32,3201,3201140,JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,-6.5641,106.86545,16861.0,
6,32,32.01,32.01.06,JAWA BARAT,KAB. BOGOR,JONGGOL,32,3201,3201170,JAWA BARAT,KABUPATEN BOGOR,JONGGOL,-6.47003,107.07162,16831.0,
7,32,32.01,32.01.07,JAWA BARAT,KAB. BOGOR,CILEUNGSI,32,3201,3201180,JAWA BARAT,KABUPATEN BOGOR,CILEUNGSI,-6.72555,106.89283,16725.0,
8,32,32.01,32.01.08,JAWA BARAT,KAB. BOGOR,CARIU,32,3201,3201160,JAWA BARAT,KABUPATEN BOGOR,CARIU,-6.50349,107.13281,16841.0,
9,32,32.01,32.01.09,JAWA BARAT,KAB. BOGOR,SUKAMAKMUR,32,3201,3201150,JAWA BARAT,KABUPATEN BOGOR,SUKAMAKMUR,-6.56618,106.99458,16881.0,
10,32,32.01,32.01.10,JAWA BARAT,KAB. BOGOR,PARUNG,32,3201,3201240,JAWA BARAT,KABUPATEN BOGOR,PARUNG,-6.42286,106.73249,16331.0,
11,32,32.01,32.01.11,JAWA BARAT,KAB. BOGOR,GUNUNG SINDUR,32,3201,3201250,JAWA BARAT,KABUPATEN BOGOR,GUNUNG SINDUR,-6.38542,106.67251,16341.0,
12,32,32.01,32.01.12,JAWA BARAT,KAB. BOGOR,KEMANG,32,3201,3201230,JAWA BARAT,KABUPATEN BOGOR,KEMANG,-6.50345,106.74789,16311.0,
